date,close,total_likes,total_retweets,total_tweets,t_value
11/1/2017,198,4747,560,1680,367
11/2/2017,199.32,5316,894,1679,1022
11/3/2017,200.01,4938,818,1680,528
11/4/2017,200.01,3162,679,1680,317
11/5/2017,200.01,2768,384,1680,73
11/6/2017,200.13,143213,40346,1680,563
11/7/2017,195.89,5034,985,1440,3791
11/8/2017,196.44,10932,1473,1439,2849
11/9/2017,193.9,5114,1399,1439,2142
11/10/2017,192.02,2945,614,1440,115
11/11/2017,192.02,2582,417,1440,1158
11/12/2017,192.02,4382,1097,1440,2626
11/13/2017,195.08,4779,1025,1440,404
11/14/2017,195.71,2899,485,1440,277
11/15/2017,192.12,4394,709,1440,637
11/16/2017,195.51,4084,3460,1440,193
11/17/2017,193.2,9783,2111,1440,811
11/18/2017,193.2,2959,557,1440,309
11/19/2017,193.2,3398,706,1440,666
11/20/2017,194.1,26022,7155,1440,1230
11/21/2017,196.23,3206,807,1440,1126
11/22/2017,196.32,3691,968,1439,1328
11/23/2017,196.32,3738,535,1438,340
11/24/2017,195.75,3394,723,1439,451
11/25/2017,195.75,8641,1200,1439,1182
11/26/2017,195.75,5909,2391,1440,448
11/27/2017,195.05,3786,1338,1440,429
11/28/2017,199.18,10168,1439,1440,1317
11/29/2017,188.15,4752,767,1440,1350
11/30/2017,187.58,3187,548,1440,1068
12/1/2017,186.82,6023,947,1440,839
12/2/2017,186.82,136272,40397,1440,355
12/3/2017,186.82,4860,742,1440,855
12/4/2017,184.04,6235,1126,1440,896
12/5/2017,184.21,2973,613,1440,408
12/6/2017,185.3,9631,2137,1440,3328
12/7/2017,185.2,8036,4586,1440,740
12/8/2017,188.54,21931,3808,1440,243
12/9/2017,188.54,5156,930,1440,687
12/10/2017,188.54,48821,16185,1440,0
12/11/2017,186.22,8919,1202,1439,640
12/12/2017,185.73,2953,562,1440,381
12/13/2017,187.86,5359,1178,1440,1020
12/14/2017,189.56,9662,3697,1440,861
12/15/2017,190.12,6981,1064,1440,430
12/16/2017,190.12,2937,516,1439,0
12/17/2017,190.12,7456,1306,1440,2218
12/18/2017,190.42,6684,1585,1440,588
12/19/2017,187.02,4955,849,1440,633
12/20/2017,188.82,5586,841,1440,587
12/21/2017,188.62,4199,619,1440,711
12/22/2017,189.94,3116,462,1440,268
12/23/2017,189.94,16751,1366,1440,318
12/24/2017,189.94,2871,429,1440,278
12/25/2017,189.94,3677,462,1440,1022
12/26/2017,187.76,6547,1236,1440,549
12/27/2017,186.24,4831,915,1440,416
12/28/2017,192.71,5542,769,1440,5491
12/29/2017,191.96,4327,567,1440,1688
12/30/2017,191.96,3142,513,1440,1095
12/31/2017,191.96,5410,815,1440,765
1/1/2018,191.96,252,113,123,408
1/2/2018,201.07,5554,755,1439,3558
1/3/2018,205.05,3222,470,1440,2104
1/4/2018,205.63,4869,533,1440,433
1/5/2018,209.99,35839,5631,1440,710
1/6/2018,209.99,4545,683,1439,1170
1/7/2018,209.99,4591,855,1440,106
1/8/2018,212.05,4656,810,1440,539
1/9/2018,209.31,48234,11059,1440,496
1/10/2018,212.52,4892,711,1440,184
1/11/2018,217.24,3153,472,1440,661
1/12/2018,221.23,7273,1588,1440,881
1/13/2018,221.23,7779,872,1440,466
1/14/2018,221.23,4893,882,1440,229
1/15/2018,221.23,8230,1583,1440,204
1/16/2018,221.53,3849,595,1440,1340
1/17/2018,217.5,3545,556,1440,4523
1/18/2018,220.33,13429,1625,1440,886
1/19/2018,220.46,3311,741,1440,3100
1/20/2018,220.46,6133,619,1440,8170
1/21/2018,220.46,4123,930,1440,6005
1/22/2018,227.58,4824,1058,1440,6711
1/23/2018,250.29,3644,638,1440,3883
1/24/2018,261.3,5518,939,1440,1983
1/25/2018,269.7,2795,395,1440,3917
1/26/2018,274.6,10302,2332,1440,2149
1/27/2018,274.6,2988,1289,1440,4105
1/28/2018,274.6,5356,1519,1440,3730
1/29/2018,284.59,4981,1063,1440,2867
1/30/2018,278.8,27593,16381,1440,4165
1/31/2018,270.3,8010,1289,1440,1075
2/1/2018,265.07,5913,1028,1440,1785
2/2/2018,267.43,30163,9254,1440,2007
2/3/2018,267.43,3807,598,1440,1208
2/4/2018,267.43,3748,1065,1440,1428
2/5/2018,254.26,3152,507,1440,1693
2/6/2018,265.72,7949,1293,1439,819
2/7/2018,264.56,2999,401,1440,1899
2/8/2018,250.1,8320,1321,1440,564
2/9/2018,249.47,6728,1539,1440,1241
2/10/2018,249.47,5585,752,1439,806
2/11/2018,249.47,3045,473,1440,763
2/12/2018,257.95,3632,624,1440,1122
2/13/2018,258.27,2962,441,1440,2077
2/14/2018,266,7308,1238,1440,1047
2/15/2018,280.27,8586,1431,1439,1075
2/16/2018,278.52,4077,931,1440,1363
2/17/2018,278.52,3905,504,1439,448
2/18/2018,278.52,3059,419,1440,1990
