dates,likes,retweets,tweets,text_values,close
11/1/2018,,,1,0,317.38
11/2/2018,,,1,0,309.1
11/5/2018,,,1,0,315.44
11/6/2018,,,1,0,310.84
11/7/2018,,,1,0,327.5
11/8/2018,,,1,0,317.92
11/9/2018,,,1,0,303.47
11/12/2018,5882,1094,1440,637,294.07
11/13/2018,4708,812,1440,1320,294.4
11/14/2018,4983,1046,1440,1445,286.73
11/15/2018,20736,3684,1440,769,290.06
11/16/2018,34906,8347,1440,869,286.21
11/19/2018,5451,831,1440,1378,270.6
11/20/2018,8140,1270,1440,448,266.98
11/21/2018,7399,1136,1440,1880,262.13
11/23/2018,5872,1111,1440,871,258.82
11/26/2018,4622,858,1438,1386,261.43
11/27/2018,7223,1886,1440,204,266.63
11/28/2018,4137,629,1439,1062,282.65
11/29/2018,3994,630,1440,735,288.75
11/30/2018,3929,596,1440,393,286.13
12/3/2018,,,1,0,290.3
12/4/2018,,,1,0,275.33
12/6/2018,,,1,0,282.88
12/7/2018,,,1,0,265.14
12/10/2018,5833,954,1439,500,269.7
12/11/2018,20801,2722,1440,1908,265.32
12/12/2018,11191,1540,1439,342,274.88
12/13/2018,3657,467,1440,743,276.02
12/14/2018,9197,2366,1440,627,266.84
12/17/2018,14397,3332,1440,235,262.8
12/18/2018,27472,2922,1440,466,270.94
12/19/2018,10041,1614,1440,424,266.77
12/20/2018,5955,1079,1440,545,260.58
12/21/2018,20592,3629,1440,358,246.39
12/24/2018,35773,2366,1440,146,233.88
12/26/2018,12491,3239,1440,40,253.67
12/27/2018,5357,935,1440,1207,255.565
12/28/2018,16211,2095,1440,656,256.08
12/31/2018,14794,2225,1440,244,267.66
1/2/2019,,,1,0,267.66
1/3/2019,,,1,0,271.2
1/4/2019,,,1,0,297.57
1/7/2019,,,1,0,315.34
1/8/2019,,,1,0,320.27
1/9/2019,,,1,0,319.96
1/10/2019,,,1,0,324.66
1/11/2019,,,1,0,337.59
1/14/2019,,,1,0,332.94
1/15/2019,,,1,0,354.64
1/16/2019,,,1,0,351.39
1/17/2019,,,1,0,353.19
1/18/2019,,,1,0,339.1
1/22/2019,,,1,0,325.16
1/23/2019,,,1,0,321.99
1/24/2019,,,1,0,326.67
1/25/2019,,,1,0,338.05
1/28/2019,,,1,0,335.66
1/29/2019,,,1,0,328.9
1/30/2019,,,1,0,340.66
1/31/2019,,,1,0,339.5
2/1/2019,,,1,0,339.85
